atom_id	status	effect	mode	source	copies
atom.action.git_push_shared_remote	enforced	human_review	enforce	catalog/Aegis-Atoms-v0.yaml:122	pub_catalog,pub_bundle
atom.action.memory_identity_write	enforced	block	enforce	catalog/Aegis-Atoms-v0.yaml:206	pub_catalog,pub_bundle
atom.action.terminal_mutate_hermes_runtime	enforced	human_review	enforce	catalog/Aegis-Atoms-v0.yaml:105	pub_catalog,pub_bundle
atom.condition.confidential_tag_in_clean_export	enforced	block	enforce	catalog/Aegis-Atoms-v0.yaml:184	pub_catalog,pub_bundle
atom.resource.read_hermes_secrets	observe	human_review	observe	catalog/Aegis-Atoms-v0.yaml:166	pub_catalog,pub_bundle
atom.resource.write_atom_catalog	observe	human_review	observe	Aegis-Atoms-v0.bundle.yaml:167	pub_bundle
atom.resource.write_hermes_aegis_skills	enforced	human_review	enforce	Aegis-Atoms-v0.bundle.yaml:229	pub_bundle
atom.resource.write_hermes_config	enforced	human_review	enforce	catalog/Aegis-Atoms-v0.yaml:90	pub_catalog,pub_bundle
atom.resource.write_hermes_cron_store	enforced	human_review	enforce	catalog/Aegis-Atoms-v0.yaml:75	pub_catalog,pub_bundle
atom.resource.write_hermes_identity_hot	enforced	block	enforce	catalog/Aegis-Atoms-v0.yaml:41	pub_catalog,pub_bundle
atom.resource.write_hermes_plugins_tree	enforced	block	enforce	catalog/Aegis-Atoms-v0.yaml:28	pub_catalog,pub_bundle
atom.resource.write_hermes_secrets	enforced	block	enforce	catalog/Aegis-Atoms-v0.yaml:59	pub_catalog,pub_bundle
atom.resource.write_public_surface	observe	monitor	enforce	catalog/Aegis-Atoms-v0.yaml:137	pub_catalog,pub_bundle
atom.resource.write_vault_canon_protocol	observe	human_review	observe	catalog/Aegis-Atoms-v0.yaml:150	pub_catalog,pub_bundle
atoms.injection.indirect_marker	implemented	require_approval	monitor	content_detection.py:54	pub_code
atoms.injection.output_replicates_injection_pattern	implemented	human_review	monitor	output_replication.py:42;catalog/Aegis-Atoms-v0.yaml:257	pub_catalog,pub_bundle,pub_code
atoms.memory.secret_origin_to_durable_sink	implemented	block	monitor	memory_governance.py:65	pub_code
atoms.memory.write_target_is_control_surface	implemented	block	monitor	memory_governance.py:67	pub_code
atoms.memory.write_target_is_instruction_surface	implemented	block	monitor	memory_governance.py:66	pub_code
atoms.supply_chain.tool_integrity_unverified	implemented	block	monitor	supply_chain.py:67;catalog/Aegis-Atoms-v0.yaml:219	pub_catalog,pub_bundle,pub_code
atoms.supply_chain.unexpected_egress_check	implemented	block	monitor	supply_chain.py:68;catalog/Aegis-Atoms-v0.yaml:239	pub_catalog,pub_bundle,pub_code
atoms.tool_invocation.destination_scope_exceeds_task_declaration	implemented	block	monitor	task_scope.py:60	pub_code
atoms.tool_invocation.operation_in_declared_irreversible_set	implemented	require_approval	monitor	irreversible_ops.py:60	pub_code
atoms.tool_invocation.path_resolves_outside_allowed_root	implemented	block	monitor	action_gating.py:67	pub_code
atoms.tool_invocation.shell_argv_schema_valid	implemented	block	monitor	action_gating.py:69	pub_code
atoms.tool_invocation.shell_invocation_unsanitized	implemented	block	monitor	action_gating.py:68	pub_code
